page_id,doc_id,n_chars,n_words,status
as_p0001,ch01_math_constants,897,92,ok
as_p0002,ch01_math_constants,1599,396,ok
as_p0005,ch02_phys_constants,512,69,ok
as_p0006,ch02_phys_constants,2829,384,ok
as_p0007,ch02_phys_constants,2376,340,ok
as_p0008,ch02_phys_constants,2237,304,ok
as_p0009,ch03_elem_analytic,1029,125,ok
as_p0010,ch03_elem_analytic,770,38,ok
as_p0011,ch03_elem_analytic,688,64,ok
as_p0012,ch03_elem_analytic,208,23,ok
as_p0013,ch03_elem_analytic,493,5,ok
as_p0014,ch03_elem_analytic,2544,268,ok
as_p0015,ch03_elem_analytic,1181,18,ok
as_p0016,ch03_elem_analytic,139,4,ok
as_p0017,ch03_elem_analytic,2369,171,ok
as_p0018,ch03_elem_analytic,2571,279,ok
as_p0019,ch03_elem_analytic,1472,215,ok
as_p0020,ch03_elem_analytic,1533,90,ok
as_p0021,ch03_elem_analytic,2071,281,ok
as_p0022,ch03_elem_analytic,732,33,ok
as_p0023,ch03_elem_analytic,3740,564,ok
as_p0024,ch03_elem_analytic,1617,277,ok
as_p0025,ch03_elem_analytic,1706,348,ok
as_p0026,ch03_elem_analytic,1574,257,ok
as_p0029,ch03_elem_analytic,128,23,ok
as_p0030,ch03_elem_analytic,1621,315,ok
as_p0031,ch03_elem_analytic,1488,296,ok
as_p0035,ch03_elem_analytic,1632,317,ok
as_p0043,ch03_elem_analytic,1652,392,ok
as_p0045,ch03_elem_analytic,1717,354,ok
as_p0047,ch03_elem_analytic,156,29,ok
as_p0049,ch03_elem_analytic,1633,273,ok
as_p0056,ch03_elem_analytic,1653,384,ok
as_p0059,ch03_elem_analytic,434,82,ok
as_p0062,ch03_elem_analytic,1596,334,ok
as_p0063,ch03_elem_analytic,148,27,ok
as_p0065,ch04_elem_transcend,1750,213,ok
as_p0067,ch04_elem_transcend,1140,120,ok
as_p0068,ch04_elem_transcend,2032,79,ok
as_p0069,ch04_elem_transcend,723,15,ok
as_p0070,ch04_elem_transcend,672,40,ok
as_p0071,ch04_elem_transcend,1543,47,ok
