page_id,doc_id,n_chars,n_words,status
as_p0001,ch01_math_constants,832,113,ok
as_p0003,ch01_math_constants,5981,1289,ok
as_p0005,ch02_phys_constants,574,86,ok
as_p0006,ch02_phys_constants,2600,367,ok
as_p0007,ch02_phys_constants,2347,393,ok
as_p0008,ch02_phys_constants,2731,366,ok
as_p0009,ch03_elem_analytic,5547,1140,ok
as_p0010,ch03_elem_analytic,1846,71,ok
as_p0012,ch03_elem_analytic,204,23,ok
as_p0013,ch03_elem_analytic,2835,121,ok
as_p0014,ch03_elem_analytic,2969,344,ok
as_p0015,ch03_elem_analytic,666,43,ok
as_p0016,ch03_elem_analytic,1817,91,ok
as_p0017,ch03_elem_analytic,2426,159,ok
as_p0019,ch03_elem_analytic,1690,246,ok
as_p0020,ch03_elem_analytic,1701,72,ok
as_p0021,ch03_elem_analytic,1765,242,ok
as_p0022,ch03_elem_analytic,1521,103,ok
as_p0023,ch03_elem_analytic,3740,564,ok
as_p0024,ch03_elem_analytic,1620,390,ok
as_p0025,ch03_elem_analytic,2266,365,ok
as_p0026,ch03_elem_analytic,3337,563,ok
as_p0027,ch03_elem_analytic,3138,556,ok
as_p0029,ch03_elem_analytic,3113,474,ok
as_p0030,ch03_elem_analytic,1635,318,ok
as_p0031,ch03_elem_analytic,1578,33,ok
as_p0033,ch03_elem_analytic,6106,964,ok
as_p0035,ch03_elem_analytic,1678,321,ok
as_p0037,ch03_elem_analytic,1715,274,ok
as_p0039,ch03_elem_analytic,1559,216,ok
as_p0041,ch03_elem_analytic,10656,1256,ok
as_p0042,ch03_elem_analytic,1666,352,ok
as_p0045,ch03_elem_analytic,1595,388,ok
as_p0047,ch03_elem_analytic,1615,35,ok
as_p0048,ch03_elem_analytic,1620,344,ok
as_p0049,ch03_elem_analytic,1577,34,ok
as_p0051,ch03_elem_analytic,3171,464,ok
as_p0053,ch03_elem_analytic,2854,472,ok
as_p0054,ch03_elem_analytic,565,136,ok
as_p0055,ch03_elem_analytic,1742,273,ok
as_p0057,ch03_elem_analytic,2181,332,ok
as_p0059,ch03_elem_analytic,3196,473,ok
as_p0060,ch03_elem_analytic,833,79,ok
as_p0061,ch03_elem_analytic,3189,470,ok
as_p0063,ch03_elem_analytic,1709,47,ok
as_p0065,ch04_elem_transcend,1662,166,ok
as_p0066,ch04_elem_transcend,1647,72,ok
as_p0067,ch04_elem_transcend,1119,120,ok
as_p0068,ch04_elem_transcend,2075,103,ok
as_p0069,ch04_elem_transcend,2749,251,ok
as_p0070,ch04_elem_transcend,1023,49,ok
as_p0071,ch04_elem_transcend,236,5,ok
as_p0072,ch04_elem_transcend,2080,231,ok
as_p0073,ch04_elem_transcend,2159,174,ok
as_p0074,ch04_elem_transcend,2078,261,ok
as_p0075,ch04_elem_transcend,902,109,ok
as_p0076,ch04_elem_transcend,1707,87,ok
